season,date,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,hs,as,hst,ast,hc,ac,hf,af,hy,ay,hr,ar
1993/94,1994-01-16,Lazio,Reggiana,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-16,Lecce,Parma,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-16,Napoli,Cremonese,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-16,Piacenza,Sampdoria,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-16,Udinese,Cagliari,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-23,Cagliari,Genoa,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-23,Cremonese,Inter,1,4,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-23,Foggia,Lecce,5,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-23,Milan,Piacenza,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-23,Parma,Lazio,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-23,Reggiana,Atalanta,3,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-23,Roma,Udinese,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-23,Sampdoria,Juventus,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-23,Torino,Napoli,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-30,Atalanta,Milan,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-30,Genoa,Parma,0,4,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-30,Inter,Cagliari,3,3,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-30,Juventus,Foggia,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-30,Lazio,Cremonese,4,2,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-30,Lecce,Sampdoria,0,3,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-30,Napoli,Roma,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-30,Piacenza,Reggiana,3,2,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-01-30,Udinese,Torino,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-02,Cagliari,Foggia,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-02,Cremonese,Atalanta,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-02,Inter,Lazio,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-02,Lecce,Piacenza,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-02,Napoli,Genoa,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-02,Reggiana,Juventus,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-02,Roma,Milan,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-02,Sampdoria,Udinese,6,2,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-06-02,Torino,Parma,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-13,Atalanta,Roma,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-13,Foggia,Reggiana,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-13,Genoa,Torino,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-13,Juventus,Lecce,5,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-13,Lazio,Cagliari,4,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-13,Milan,Cremonese,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-13,Parma,Sampdoria,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-13,Piacenza,Inter,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-13,Udinese,Napoli,3,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-20,Cagliari,Piacenza,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-20,Cremonese,Roma,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-20,Foggia,Parma,3,2,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-20,Inter,Napoli,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-20,Lazio,Milan,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-20,Lecce,Udinese,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-20,Reggiana,Genoa,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1994-02-20,Sampdoria,Atalanta,3,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
